time,round,test_loss,test_acc,clients_selected
2025-10-14T19:03:52.093768,15,1.7505879077911377,38.75,"0,8,16,24,29,33,35,38,43,46,55,62"
2025-10-14T19:04:30.469411,16,1.220429817390442,56.510000000000005,"7,14,17,18,21,27,34,41,43,48,49,56"
2025-10-14T19:05:08.674772,17,1.1496424335479736,58.330000000000005,"0,6,11,16,20,29,32,46,48,56,59,60"
2025-10-14T19:05:47.597278,18,1.1801825317382812,57.730000000000004,"9,10,12,23,32,34,38,40,48,49,53,63"
2025-10-14T19:06:26.056890,19,1.1113532947540283,60.49,"0,1,7,15,19,20,23,31,38,51,53,56"
2025-10-14T19:07:06.107571,20,1.0537314708709717,62.739999999999995,"4,5,7,15,31,34,36,46,48,52,56,59"
2025-10-14T19:07:45.360407,21,1.0227150190353393,63.01,"8,10,13,16,27,30,33,35,38,42,55,63"
2025-10-14T19:08:24.765366,22,1.0791500759124757,61.519999999999996,"7,15,19,23,25,28,33,41,42,45,56,63"
2025-10-14T19:09:05.148627,23,0.9530090534210205,66.0,"0,1,4,14,21,28,35,37,45,57,59,62"
2025-10-14T19:09:44.985111,24,1.0978545753479003,61.029999999999994,"2,4,7,14,15,17,21,32,42,55,57,61"
2025-10-14T19:10:25.789796,25,0.8862965558052063,68.60000000000001,"8,13,15,30,34,36,46,50,55,56,57,62"
2025-10-14T19:11:04.890410,26,0.935243257522583,67.25,"3,6,12,22,26,27,29,42,46,52,58,61"
2025-10-14T19:11:46.634181,27,0.8666193251609802,69.13,"3,6,12,15,21,25,34,46,51,54,55,63"
2025-10-14T19:12:26.422875,28,0.8752511688232422,69.34,"4,8,11,15,17,27,28,29,35,51,55,57"
2025-10-14T19:13:08.448793,29,0.8030505151748657,71.43,"0,3,5,10,12,15,26,34,41,48,53,54"
2025-10-14T19:16:29.701699,0,2.4592670566558836,9.81,
2025-10-14T19:17:15.962235,1,2.31769934425354,10.03,"1,6,8,14,15,17,34,43,47,56,61,63"
2025-10-14T19:17:57.248658,2,2.441938226699829,13.639999999999999,"1,2,5,11,13,14,27,32,35,37,38,59"
2025-10-14T19:18:39.159928,3,2.2985984565734863,19.37,"0,14,17,25,26,28,34,37,41,44,45,51"
2025-10-14T19:19:18.843886,4,2.087629079055786,24.05,"5,6,9,13,17,20,21,24,27,44,48,60"
2025-10-14T19:20:03.226413,5,1.9867732709884645,26.08,"2,7,12,16,22,29,34,38,46,51,54,62"
2025-10-14T19:20:44.600118,6,1.6782158565521241,37.980000000000004,"5,12,18,23,35,36,39,40,48,53,55,56"
2025-10-14T19:21:23.408428,7,2.4333192852020264,17.14,"2,5,6,8,14,17,18,24,42,49,54,60"
2025-10-14T19:22:02.728083,8,1.609681238746643,41.54,"10,13,17,22,23,40,42,43,44,53,58,60"
