time,round,batch_num,client_id,train_loss,train_acc
2025-09-30T17:23:16.807233,1,0,28,2.233708143234253,3.125
2025-09-30T17:23:16.838515,1,0,35,2.280959129333496,6.25
2025-09-30T17:23:21.541567,1,1,28,1.8741021156311035,34.48275923728943
2025-09-30T17:23:21.735178,1,1,35,1.7812062501907349,43.75
2025-09-30T17:23:21.980587,1,0,3,2.6988041400909424,6.25
2025-09-30T17:23:22.047486,1,0,14,2.1726913452148438,25.0
2025-09-30T17:23:24.901644,1,2,35,1.725307822227478,45.3125
2025-09-30T17:23:25.173362,1,1,3,2.021035671234131,34.375
2025-09-30T17:23:25.224346,1,1,14,2.017934560775757,23.4375
2025-09-30T17:23:26.169085,1,0,31,2.169250011444092,6.25
2025-09-30T17:23:28.243822,1,3,35,2.206603765487671,35.9375
2025-09-30T17:23:28.632334,1,2,3,1.588884711265564,51.5625
2025-09-30T17:23:28.677688,1,2,14,1.8285205364227295,29.6875
2025-09-30T17:23:29.713745,1,1,31,1.666377067565918,53.125
2025-09-30T17:23:31.723662,1,4,35,1.856653094291687,39.0625
2025-09-30T17:23:32.077158,1,3,3,1.8164618015289307,40.625
2025-09-30T17:23:32.138643,1,3,14,1.8060904741287231,20.3125
2025-09-30T17:23:33.179038,1,2,31,1.6574156284332275,48.4375
2025-09-30T17:23:35.124076,1,5,35,1.9495192766189575,35.9375
2025-09-30T17:23:35.292474,1,4,3,2.397423028945923,32.8125
2025-09-30T17:23:35.331648,1,4,14,1.6098061800003052,34.375
2025-09-30T17:23:36.398671,1,3,31,1.563755750656128,48.4375
2025-09-30T17:23:38.463675,1,6,35,1.5607808828353882,48.4375
2025-09-30T17:23:38.526001,1,5,3,2.1616368293762207,34.375
2025-09-30T17:23:38.575173,1,5,14,1.7426215410232544,28.125
2025-09-30T17:23:39.750353,1,4,31,1.9447458982467651,43.75
2025-09-30T17:23:41.812747,1,7,35,1.4428436756134033,50.0
2025-09-30T17:23:41.836578,1,6,3,1.7893890142440796,31.25
2025-09-30T17:23:41.966021,1,6,14,1.6802371740341187,31.25
2025-09-30T17:23:43.110597,1,5,31,1.359118103981018,53.125
2025-09-30T17:23:45.011458,1,8,35,1.5000460147857666,48.4375
2025-09-30T17:23:45.073194,1,7,3,1.6439977884292603,43.75
2025-09-30T17:23:45.204691,1,7,14,1.3721915483474731,56.25
2025-09-30T17:23:46.296210,1,6,31,1.7679215669631958,28.125
2025-09-30T17:23:48.294653,1,8,3,1.9233442544937134,34.375
2025-09-30T17:23:48.307777,1,9,35,1.6871850490570068,46.875
2025-09-30T17:23:48.343679,1,8,14,1.463844895362854,39.0625
2025-09-30T17:23:49.566846,1,7,31,1.6205981969833374,60.9375
2025-09-30T17:23:51.726442,1,9,3,1.8058497905731201,48.4375
2025-09-30T17:23:51.744646,1,9,14,1.5501399040222168,35.9375
2025-09-30T17:23:51.769672,1,10,35,1.2529228925704956,64.0625
2025-09-30T17:23:53.033080,1,8,31,1.4188916683197021,60.9375
2025-09-30T17:23:54.896840,1,10,3,2.1963675022125244,35.9375
2025-09-30T17:23:54.971891,1,11,35,1.5513439178466797,48.4375
2025-09-30T17:23:54.988763,1,10,14,1.5102983713150024,32.8125
2025-09-30T17:23:56.338468,1,9,31,1.4226150512695312,54.6875
2025-09-30T17:23:58.081827,1,11,3,1.5614603757858276,34.375
2025-09-30T17:23:58.141181,1,12,35,1.3614951372146606,57.8125
2025-09-30T17:23:58.206177,1,11,14,1.332962989807129,54.6875
2025-09-30T17:23:59.563718,1,10,31,1.6427420377731323,64.0625
2025-09-30T17:24:01.451707,1,13,35,1.417805552482605,57.8125
2025-09-30T17:24:01.532192,1,12,14,1.4330147504806519,45.3125
2025-09-30T17:24:01.535594,1,12,3,2.621971368789673,18.75
2025-09-30T17:24:02.845387,1,11,31,1.3645460605621338,51.5625
2025-09-30T17:24:04.707182,1,14,35,1.3462926149368286,59.375
2025-09-30T17:24:04.789161,1,13,3,1.9757347106933594,32.8125
